...1,es_score,brier_score,location,target_date,X22E_50_CI,X22F_50_CI,X23A_50_CI,X23C_50_CI,X23D_50_CI,X23B_50_CI,other_50_CI,X22E_95_CI,X22F_95_CI,X23A_95_CI,X23C_95_CI,X23D_95_CI,X23B_95_CI,other_95_CI
1,0.00458145796802011,0.00220380789927326,AK,2023-03-19,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2,0.227235162212779,0.00208000394882311,AK,2023-03-20,1,1,1,1,1,1,1,1,1,1,1,1,1,1
3,0.662296439162802,0.1161322309193935,AK,2023-03-21,1,1,1,1,1,1,1,0,1,0,1,1,1,1
4,1.12551321428904,0.238931799699254,AK,2023-03-22,1,1,0,0,1,1,1,1,1,0,0,1,1,1
5,NA,NA,AK,2023-03-23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6,0.862946862985914,0.1856747806333145,AK,2023-03-24,0,1,1,1,1,1,1,0,1,0,1,1,1,1
7,0.00435323218285108,0.001624666154963925,AK,2023-03-25,1,1,1,1,1,1,1,1,1,1,1,1,1,1
8,3.84572032664887,0.71290079622846,AK,2023-03-26,1,1,0,1,0,1,1,1,1,0,1,0,1,1
9,1.14658497461184,0.2387512162225345,AK,2023-03-27,1,1,0,1,0,1,1,1,1,0,1,0,1,1
10,0.0132496243870315,0.001451023205946635,AK,2023-03-28,1,1,1,1,1,1,1,1,1,1,1,1,1,1
11,0.0281959489464113,0.001406019145224275,AK,2023-03-29,1,1,1,1,1,1,1,1,1,1,1,1,1,1
12,0.0496949051129453,0.001366756737417955,AK,2023-03-30,1,1,1,1,1,1,1,1,1,1,1,1,1,1
13,0.0287684842890743,0.001332916151003145,AK,2023-03-31,1,1,1,1,1,1,1,1,1,1,1,1,1,1
14,0.0448823095946302,0.00130423643540317,AK,2023-04-01,1,1,1,1,1,1,1,1,1,1,1,1,1,1
15,0.0731923896723795,0.001280512019681385,AK,2023-04-02,1,1,1,1,1,1,1,1,1,1,1,1,1,1
