...1,es_score,brier_score,location,target_date,X21L_50_CI,X22B_50_CI,X22D_50_CI,X22E_50_CI,X22F_50_CI,X23A_50_CI,X23C_50_CI,recombinant_50_CI,other_50_CI,X21L_95_CI,X22B_95_CI,X22D_95_CI,X22E_95_CI,X22F_95_CI,X23A_95_CI,X23C_95_CI,recombinant_95_CI,other_95_CI
1,1.17599268459555,0.3032790842888125,AK,2022-12-11,1,1,1,0,1,1,1,1,1,1,0,1,0,1,1,1,1,1
2,1.48462343113264,0.3403666204519105,AK,2022-12-12,1,0,0,1,1,1,1,1,1,1,0,0,0,1,1,1,1,0
3,1.29750107525999,0.363658185498658,AK,2022-12-13,0,1,1,1,1,1,1,1,1,0,0,0,0,1,1,1,1,1
4,0.628289316021853,0.2452305092595645,AK,2022-12-14,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0
5,1.01845703173586,0.4200655169848125,AK,2022-12-15,1,1,0,1,1,1,1,1,1,1,0,0,0,1,1,1,1,0
6,1.99732069584103,0.2904173260044585,AK,2022-12-16,1,0,1,0,1,1,1,1,0,1,0,1,0,1,1,1,1,1
7,0.27466688916779203,0.308927169017863,AK,2022-12-17,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1
8,1.06403303561235,0.211895784162231,AK,2022-12-18,1,0,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1
9,0.957872878597897,0.3320938696224525,AK,2022-12-19,1,1,1,1,0,1,1,1,1,1,0,1,0,0,1,1,1,1
10,0.41481428948755,0.279449994088683,AK,2022-12-20,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
11,0.564699781940444,0.262326214163286,AK,2022-12-21,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
12,0.869717689161728,0.3621585374609235,AK,2022-12-22,1,1,0,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1
13,0.250172342570912,0.3217024718481065,AK,2022-12-23,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1
14,0.580069373261286,0.2637190658282785,AK,2022-12-24,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
15,0.650830367269698,0.327359581190347,AK,2022-12-25,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
16,2.07793314986344,0.4652661563741945,AK,2022-12-26,1,0,0,1,1,0,1,1,1,1,0,0,0,1,0,0,1,1
17,5.51187685685279,0.524769647444595,AK,2022-12-27,1,1,0,0,1,0,1,1,1,1,0,0,0,1,0,1,1,1
18,1.62448042666159,0.4918134918364845,AK,2022-12-28,1,1,0,1,1,1,1,1,1,1,0,0,0,1,1,0,1,1
19,1.00063906723989,0.444376968761094,AK,2022-12-29,1,1,1,1,1,1,0,1,1,1,0,1,0,1,1,0,1,1
20,1.97820376776648,0.4418814864911455,AK,2022-12-30,1,1,0,0,1,0,1,1,1,1,1,0,0,1,0,0,1,0
21,1.21492664121211,0.4927842299222865,AK,2022-12-31,1,1,0,1,1,0,1,1,1,1,0,0,0,1,0,1,1,0
22,0.818508851299931,0.4990494697837005,AK,2023-01-01,1,1,0,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1
23,1.13956768571909,0.4281820168774905,AK,2023-01-02,1,1,0,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1
24,2.72184114529591,0.4463862145355025,AK,2023-01-03,1,0,1,1,1,0,1,1,1,1,0,0,0,1,0,1,1,1
25,1.81228055251952,0.3745051498865315,AK,2023-01-04,1,1,1,0,1,1,1,1,1,1,0,0,0,1,1,0,1,1
26,0.962062721323625,0.367346713999131,AK,2023-01-05,1,1,1,0,1,1,1,1,1,1,0,1,0,1,1,0,1,1
27,0.916053080804884,0.46312487418847,AK,2023-01-06,1,1,0,1,1,1,1,1,1,1,0,0,0,1,1,1,1,0
28,0.766057856527275,0.491496465281334,AK,2023-01-07,1,1,1,1,1,0,1,1,1,1,0,1,1,1,0,1,1,1
29,0.237532483580699,0.3795445514195805,AK,2023-01-08,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
30,1.25977512664472,0.479462996311415,AK,2023-01-09,1,1,0,1,1,0,1,1,1,1,0,0,1,1,0,1,1,1
31,1.66616672915526,0.422375903392422,AK,2023-01-10,1,1,1,0,1,0,1,1,1,1,0,1,0,1,0,0,1,0
32,1.06991105936136,0.396882621154537,AK,2023-01-11,1,1,0,1,1,1,1,1,1,1,0,0,0,1,1,1,1,0
