...1,es_score,brier_score,location,target_date,X22B_50_CI,X22E_50_CI,X22F_50_CI,X23A_50_CI,X23D_50_CI,other_50_CI,X22B_95_CI,X22E_95_CI,X22F_95_CI,X23A_95_CI,X23D_95_CI,other_95_CI
1,0.988974694071096,0.1190181694017085,AK,2023-02-12,1,1,1,0,1,1,1,0,1,0,1,1
2,1.25356877964008,0.276092147626587,AK,2023-02-13,1,1,1,1,1,1,0,0,1,0,1,0
3,0.588050848084367,0.228097118787408,AK,2023-02-14,1,1,1,1,1,1,1,0,1,0,1,1
4,0.653967413441113,0.2533615948966435,AK,2023-02-15,1,1,1,1,1,1,1,0,1,1,1,0
5,1.64144622829381,0.0973694954053365,AK,2023-02-16,1,0,1,0,1,1,0,1,1,0,1,1
6,0.723562678089722,0.1509274184205555,AK,2023-02-17,1,1,1,1,1,1,0,1,1,0,1,0
7,0.363566316688751,0.19396338342418,AK,2023-02-18,1,1,1,1,1,1,1,0,1,0,1,0
8,0.497840791865232,0.3032685731804495,AK,2023-02-19,1,1,1,1,1,1,1,0,1,0,1,1
9,1.38941962642501,0.1397279876374245,AK,2023-02-20,1,1,1,1,1,1,0,0,0,0,1,0
10,0.775111863557704,0.1337026387788985,AK,2023-02-21,1,1,1,1,1,1,0,0,1,0,1,1
11,NA,NA,AK,2023-02-22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12,0.618442246219852,0.0674192195400875,AK,2023-02-23,1,1,1,1,1,1,1,0,1,0,1,1
13,0.933647262451635,0.4018233345274465,AK,2023-02-24,1,1,1,1,1,0,1,0,1,1,1,0
14,NA,NA,AK,2023-02-25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15,NA,NA,AK,2023-02-26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16,0.0667353378541025,0.0543630991691525,AK,2023-02-27,1,1,1,1,1,1,1,1,1,1,1,1
17,NA,NA,AK,2023-02-28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
18,NA,NA,AK,2023-03-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
19,NA,NA,AK,2023-03-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20,NA,NA,AK,2023-03-03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
21,NA,NA,AK,2023-03-04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
22,0.0460371344437062,0.0395098978071134,AK,2023-03-05,1,1,1,1,1,1,1,1,1,0,1,0
23,NA,NA,AK,2023-03-06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
24,NA,NA,AK,2023-03-07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
