...1,es_score,brier_score,location,target_date,X22A_50_CI,X22B_50_CI,X22D_50_CI,X22E_50_CI,X22F_50_CI,X23A_50_CI,other_50_CI,X22A_95_CI,X22B_95_CI,X22D_95_CI,X22E_95_CI,X22F_95_CI,X23A_95_CI,other_95_CI
1,NA,NA,AK,2022-12-04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,NA,NA,AK,2022-12-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,NA,NA,AK,2022-12-06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,NA,NA,AK,2022-12-07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,NA,NA,AK,2022-12-08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6,0.272175964108299,0.1520326401885945,AK,2022-12-09,1,1,1,1,1,1,1,1,0,1,0,1,1,1
7,NA,NA,AK,2022-12-10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8,NA,NA,AK,2022-12-11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9,0.272899744465249,0.1469770986441685,AK,2022-12-12,1,1,1,1,1,1,1,1,0,1,0,1,1,1
10,0.267212258351523,0.1456182368380835,AK,2022-12-13,1,1,1,1,1,1,1,1,1,1,1,1,1,1
11,NA,NA,AK,2022-12-14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12,0.259206352946951,0.1433720491425635,AK,2022-12-15,1,1,1,1,1,1,1,1,0,1,0,1,1,1
13,0.995696589800578,0.519675763233665,AK,2022-12-16,0,1,1,1,1,1,1,0,0,1,1,1,1,1
14,NA,NA,AK,2022-12-17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15,NA,NA,AK,2022-12-18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16,0.510769489847478,0.449314869071568,AK,2022-12-19,1,1,1,1,1,1,1,1,0,1,0,1,1,1
17,NA,NA,AK,2022-12-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
18,0.52949779277517,0.4497600737768325,AK,2022-12-21,1,1,1,1,1,1,1,1,1,1,1,1,1,1
19,NA,NA,AK,2022-12-22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20,NA,NA,AK,2022-12-23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
21,NA,NA,AK,2022-12-24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
22,NA,NA,AK,2022-12-25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23,NA,NA,AK,2022-12-26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
24,NA,NA,AK,2022-12-27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
25,0.24708722153626,0.143417160201964,AK,2022-12-28,1,1,1,1,1,1,1,1,0,1,0,1,1,1
26,0.927646428154119,0.65908036341196,AK,2022-12-29,1,1,1,1,1,1,0,1,0,1,1,1,1,0
27,0.523528453893023,0.439907696608016,AK,2022-12-30,1,1,1,1,1,1,1,1,0,1,1,1,0,1
28,NA,NA,AK,2022-12-31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29,NA,NA,AK,2023-01-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
30,NA,NA,AK,2023-01-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
31,0.780576070588094,0.3872173585210255,AK,2023-01-03,1,1,1,1,1,0,1,0,1,1,1,1,0,1
32,0.641666443871665,0.1537956799571805,AK,2023-01-04,1,1,1,1,1,1,1,1,0,1,0,1,0,1
33,0.264757268450091,0.1558633510747385,AK,2023-01-05,1,1,1,1,1,1,1,1,1,1,1,1,1,1
34,0.267567141092012,0.158076068796364,AK,2023-01-06,1,1,1,1,1,1,1,1,1,1,0,1,0,1
35,NA,NA,AK,2023-01-07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
36,NA,NA,AK,2023-01-08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
37,0.828660897444452,0.61211036928463,AK,2023-01-09,1,1,1,1,1,0,1,1,1,1,0,1,0,1
38,0.915936862374126,0.315651867675003,AK,2023-01-10,1,1,1,1,1,0,1,1,0,1,1,1,0,1
39,0.271705639089554,0.171323871654263,AK,2023-01-11,1,1,1,1,1,1,1,1,1,1,0,1,0,1
40,0.27012857883607,0.1744178269287065,AK,2023-01-12,1,1,1,1,1,1,1,1,1,1,1,1,1,1
41,NA,NA,AK,2023-01-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
42,NA,NA,AK,2023-01-14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
43,0.676240879586773,0.2551909306242575,AL,2022-12-04,1,1,1,1,1,1,1,1,1,1,1,1,1,1
44,0.870637646010744,0.275167425612147,AL,2022-12-05,1,1,1,1,1,1,1,1,0,1,0,1,1,1
45,1.03533001335038,0.3388480778339015,AL,2022-12-06,1,1,1,1,0,1,1,1,1,0,0,0,1,1
46,0.296578453304873,0.229844835669666,AL,2022-12-07,1,1,1,1,1,1,1,1,1,1,1,1,1,1
47,0.939366995125357,0.279285859931386,AL,2022-12-08,1,0,1,1,1,1,1,1,0,1,0,1,1,1
48,1.10449648603548,0.2707429389342095,AL,2022-12-09,1,1,1,1,1,0,1,1,0,1,0,1,0,1
49,1.18405308064165,0.1702687935495535,AL,2022-12-10,1,1,1,0,1,1,1,1,0,1,0,1,1,1
50,1.43274214687505,0.478932591187182,AL,2022-12-11,0,1,0,0,1,1,1,1,1,0,0,1,1,1
51,1.20600501891871,0.4047783279243195,AL,2022-12-12,1,1,0,1,0,1,1,1,0,0,0,0,1,1
52,0.164469925912656,0.119953461458779,AL,2022-12-13,1,1,1,1,1,1,1,1,0,1,0,1,1,1
53,0.698684856909848,0.2858217821397065,AL,2022-12-14,1,1,1,1,1,1,1,1,0,1,0,1,1,1
54,0.823860138592759,0.262429939578606,AL,2022-12-15,1,1,1,1,1,1,1,1,0,1,0,1,1,1
55,0.936178394282032,0.3111112974575675,AL,2022-12-16,1,1,1,1,1,1,0,1,0,1,0,1,1,0
56,0.440774443599706,0.115530680153776,AL,2022-12-17,1,1,1,1,1,1,1,1,0,1,0,1,1,1
57,0.433730494290853,0.114974288712135,AL,2022-12-18,1,1,1,1,1,1,1,1,1,0,0,1,1,1
58,0.397722686373898,0.2017244250588895,AL,2022-12-19,1,1,1,1,1,1,1,1,1,1,0,0,1,1
59,2.50584267603147,0.2490209305865355,AL,2022-12-20,0,0,0,1,1,1,1,0,0,0,0,1,1,1
60,2.74912535835746,0.446751894389873,AL,2022-12-21,1,0,1,1,1,0,0,1,0,1,1,1,0,0
61,NA,NA,AL,2022-12-22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
62,NA,NA,AL,2022-12-23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
63,0.147136334545326,0.116229178798914,AL,2022-12-24,1,1,1,1,1,1,1,1,1,1,1,1,1,1
64,NA,NA,AL,2022-12-25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
65,1.41195198790458,0.284251983972974,AL,2022-12-26,1,1,1,1,1,1,1,1,0,1,0,1,0,1
66,1.81497435602772,0.2371579869891485,AL,2022-12-27,1,0,1,1,1,1,1,1,0,0,0,0,1,1
67,1.68926321286401,0.3508334399895445,AL,2022-12-28,1,1,1,1,0,0,1,1,0,1,0,0,0,1
68,2.99083748204675,0.3137446212223035,AL,2022-12-29,1,0,1,1,0,1,0,1,0,1,0,0,0,0
69,1.55613630158063,0.3733543625025455,AL,2022-12-30,1,1,1,1,1,0,1,1,0,1,0,1,0,1
70,NA,NA,AL,2022-12-31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
71,NA,NA,AL,2023-01-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
72,3.14825150777238,0.255515708213178,AL,2023-01-02,1,0,1,1,1,0,1,1,0,0,0,1,0,1
73,1.69046425502415,0.2386146515212815,AL,2023-01-03,1,1,1,1,1,1,0,1,0,1,0,1,1,0
74,2.81347658235365,0.3757878910395775,AL,2023-01-04,1,0,1,1,0,0,1,1,0,1,1,0,0,1
75,2.68404909125146,0.3129193413684195,AL,2023-01-05,1,0,1,1,1,0,1,1,0,1,0,1,0,1
76,1.62264532345562,0.390449707974257,AL,2023-01-06,1,1,0,1,1,1,1,1,0,0,1,1,1,1
77,1.81390318461718,0.406644983608882,AL,2023-01-07,1,1,1,1,1,1,0,1,0,1,0,1,0,0
78,1.12994897560297,0.53335819917927,AL,2023-01-08,1,1,1,0,1,1,0,1,0,1,1,1,1,0
79,1.91836931814951,0.329900148951685,AL,2023-01-09,1,1,1,1,1,0,0,1,0,1,1,1,0,0
80,2.07728459258297,0.2814216788691695,AL,2023-01-10,1,1,1,1,1,0,1,1,0,1,0,1,0,1
81,0.778973453814198,0.3961137678417255,AL,2023-01-11,1,1,1,1,1,0,1,1,0,1,0,1,0,1
82,1.2348580889552,0.4848673904107495,AL,2023-01-12,1,1,1,1,1,0,0,1,0,1,0,1,0,0
83,NA,NA,AL,2023-01-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
84,NA,NA,AL,2023-01-14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
85,0.251734293602271,0.2595022197012675,AR,2022-12-04,1,1,1,1,1,1,1,0,0,1,1,1,1,1
86,1.75088849935927,0.3168684086502775,AR,2022-12-05,1,1,0,1,1,1,1,0,0,0,0,1,1,0
87,3.97574954931599,0.3687205678718705,AR,2022-12-06,0,0,0,1,1,1,1,0,0,0,1,1,0,1
88,1.16702661364332,0.2709486780467305,AR,2022-12-07,1,1,1,1,1,1,1,0,0,0,0,1,1,1
89,2.71308958465832,0.351071320072705,AR,2022-12-08,1,1,0,0,1,1,1,1,1,0,0,1,1,1
90,1.77163975612469,0.2774375314247125,AR,2022-12-09,1,0,0,1,1,1,1,0,0,0,0,1,1,1
91,0.532617282140199,0.247092155567896,AR,2022-12-10,1,1,1,1,1,1,1,1,0,0,0,1,1,0
92,0.806671247501854,0.272081588135415,AR,2022-12-11,1,1,1,1,1,1,1,1,0,0,0,1,1,1
93,3.90948179808656,0.32675836510827,AR,2022-12-12,1,1,0,0,1,1,1,0,0,0,0,0,0,1
94,1.29665850214798,0.2861415535582525,AR,2022-12-13,1,1,1,1,1,1,1,0,0,1,0,1,1,1
95,2.20587167541187,0.2911552351401635,AR,2022-12-14,1,1,0,1,1,1,1,1,0,0,0,1,0,0
96,1.85580101326234,0.1974204006736105,AR,2022-12-15,1,0,1,0,1,1,1,1,0,1,0,1,0,1
97,2.85075847290808,0.424055301025404,AR,2022-12-16,1,0,0,0,1,1,0,1,0,0,0,1,0,0
98,0.853858765951193,0.2689792542053555,AR,2022-12-17,1,1,1,1,0,1,1,1,1,0,1,0,1,1
99,0.665692541648382,0.2611231113506285,AR,2022-12-18,1,1,1,1,1,1,1,1,1,0,0,1,1,1
100,1.95392127132283,0.2347622801468035,AR,2022-12-19,1,1,0,1,1,0,1,1,0,0,0,1,0,1
101,2.13177304950223,0.3148744879552635,AR,2022-12-20,1,1,0,1,1,1,1,0,0,0,0,1,0,0
102,1.72234785500733,0.2418327235692985,AR,2022-12-21,1,1,1,1,1,1,1,1,0,0,1,1,0,0
103,1.22317879650122,0.2767836200965,AR,2022-12-22,1,0,1,1,1,1,1,1,0,1,0,1,0,1
104,1.73543261244202,0.358110689672823,AR,2022-12-23,1,0,1,0,1,1,1,1,0,1,0,1,0,1
105,1.68404403157601,0.078634999124387,AR,2022-12-24,1,1,1,0,1,1,1,1,0,1,0,1,0,1
106,0.731551170047799,0.2287698614799025,AR,2022-12-25,1,1,0,1,1,1,1,1,0,0,1,1,1,1
