...1,es_score,brier_score,location,target_date,X23F_50_CI,X24A_50_CI,recombinant_50_CI,other_50_CI,X23F_95_CI,X24A_95_CI,recombinant_95_CI,other_95_CI
1,NA,NA,AK,2024-01-14,NA,NA,NA,NA,NA,NA,NA,NA
2,1.09439589684984,0.81641962575942,AK,2024-01-15,0,0,1,1,0,0,1,1
3,0.0248650846448246,0.01158052272821775,AK,2024-01-16,1,1,1,1,1,1,1,1
4,0.15763971892206,0.01051306896992645,AK,2024-01-17,1,1,1,1,0,0,1,1
5,0.940156629087381,0.4252337545475035,AK,2024-01-18,1,1,1,0,1,0,1,0
6,NA,NA,AK,2024-01-19,NA,NA,NA,NA,NA,NA,NA,NA
7,NA,NA,AK,2024-01-20,NA,NA,NA,NA,NA,NA,NA,NA
8,NA,NA,AK,2024-01-21,NA,NA,NA,NA,NA,NA,NA,NA
9,NA,NA,AK,2024-01-22,NA,NA,NA,NA,NA,NA,NA,NA
10,0.0496780408572869,0.00580014862505755,AK,2024-01-23,1,1,1,1,1,1,1,1
11,NA,NA,AK,2024-01-24,NA,NA,NA,NA,NA,NA,NA,NA
12,1.18403252840201,0.885559249288265,AK,2024-01-25,1,0,1,0,1,0,1,0
13,0.0438171518074918,0.00426882925720203,AK,2024-01-26,1,1,1,1,1,1,1,1
14,0.012026910515083,0.00384896095872367,AK,2024-01-27,1,1,1,1,1,1,1,1
15,0.0131645321863481,0.003468031597352145,AK,2024-01-28,1,1,1,1,1,1,1,1
16,0.0127790458543554,0.003122673442047055,AK,2024-01-29,1,1,1,1,1,1,1,1
17,0.0128214439771366,0.0028097853257067,AK,2024-01-30,1,1,1,1,1,1,1,1
18,NA,NA,AK,2024-01-31,NA,NA,NA,NA,NA,NA,NA,NA
19,0.0093087920539571,0.00227023861203616,AK,2024-02-01,1,1,1,1,1,1,1,1
20,1.09694614146757,0.4626433102643655,AK,2024-02-02,1,0,1,0,1,0,1,0
21,NA,NA,AK,2024-02-03,NA,NA,NA,NA,NA,NA,NA,NA
