...1,es_score,brier_score,location,target_date,X23A_50_CI,X23B_50_CI,X23F_50_CI,X24A_50_CI,X23I_50_CI,other_50_CI,X23A_95_CI,X23B_95_CI,X23F_95_CI,X24A_95_CI,X23I_95_CI,other_95_CI
1,NA,NA,AK,2023-12-31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,NA,NA,AK,2024-01-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,NA,NA,AK,2024-01-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,NA,NA,AK,2024-01-03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,0.370023859040384,0.3180078295847525,AK,2024-01-04,1,1,1,1,1,1,1,1,1,0,1,0
6,0.882630820263012,0.3361347470409275,AK,2024-01-05,1,1,1,1,1,1,1,1,0,1,1,0
7,NA,NA,AK,2024-01-06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8,NA,NA,AK,2024-01-07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9,0.344871589991395,0.301604059026518,AK,2024-01-08,1,1,1,1,1,1,1,1,1,0,1,0
10,1.36174873321694,0.2978610929802915,AK,2024-01-09,1,1,1,0,1,1,1,1,1,0,1,0
11,0.816427583411856,0.2942601096483015,AK,2024-01-10,1,1,1,0,1,1,1,1,1,0,1,0
12,0.341420979597079,0.290800198789921,AK,2024-01-11,1,1,1,1,1,1,1,1,1,1,1,1
13,NA,NA,AK,2024-01-12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14,NA,NA,AK,2024-01-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15,NA,NA,AK,2024-01-14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16,0.53793361909505,0.3683863650958955,AK,2024-01-15,1,1,1,1,1,1,1,1,0,0,1,1
17,0.309420041937249,0.275575123381227,AK,2024-01-16,1,1,1,1,1,1,1,1,1,1,1,1
18,1.2319864296752,0.272935082900021,AK,2024-01-17,1,1,1,0,1,1,1,1,1,1,1,1
19,0.602589655125848,0.3358506060734515,AK,2024-01-18,1,1,1,1,1,1,1,1,1,0,1,0
20,NA,NA,AK,2024-01-19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
