...1,es_score,brier_score,location,target_date,X22B_50_CI,X22E_50_CI,X22F_50_CI,X23A_50_CI,X23D_50_CI,other_50_CI,X22B_95_CI,X22E_95_CI,X22F_95_CI,X23A_95_CI,X23D_95_CI,other_95_CI
138,1.61935137433703,0.1248474011148245,AZ,2023-02-23,1,1,1,0,1,1,1,0,1,0,1,1
139,1.12167110646959,0.185680344970858,AZ,2023-02-24,1,1,1,1,1,1,0,1,0,0,1,0
140,1.21657166514314,0.2867008452450875,AZ,2023-02-25,1,1,0,1,1,0,1,0,1,0,1,0
141,2.41519867889553,0.166761721719649,AZ,2023-02-26,1,0,1,0,1,1,0,0,0,0,0,1
142,10.4578602236532,0.128686071800165,AZ,2023-02-27,1,0,0,0,1,1,1,0,0,0,1,0
143,6.04060747190281,0.1035667831954385,AZ,2023-02-28,1,0,1,0,1,1,0,0,0,0,1,1
144,2.84060853477456,0.191055955444971,AZ,2023-03-01,1,0,1,1,1,0,1,0,0,0,1,0
145,1.5809565822711,0.2085559860433255,AZ,2023-03-02,1,0,1,1,0,1,1,1,1,0,0,0
146,2.46067804828254,0.3459694582477595,AZ,2023-03-03,1,1,0,0,1,1,1,1,0,0,1,0
147,2.78017342149413,0.376296450737467,AZ,2023-03-04,1,1,0,0,1,0,0,0,0,0,1,0
148,3.11333114167032,0.091724450264767,AZ,2023-03-05,1,0,1,0,1,1,1,0,0,0,1,1
149,5.55715132296625,0.123427224048522,AZ,2023-03-06,1,0,1,0,0,1,1,0,1,0,0,0
150,4.95119485793179,0.0725854744887285,AZ,2023-03-07,1,0,1,0,1,1,0,0,0,0,1,0
151,0.419452310532,0.1982871128991125,AZ,2023-03-08,1,1,1,1,1,1,1,1,1,1,1,1
152,0.592847716200334,0.0285787804982954,AZ,2023-03-09,1,1,1,1,1,1,1,1,1,1,1,1
153,0.414912377335905,0.0268260528611351,AZ,2023-03-10,1,1,1,1,1,1,1,1,0,0,1,1
154,0.723071232065678,0.16583158464596,AZ,2023-03-11,1,1,1,1,1,1,1,0,0,1,1,1
155,2.51560424481512,0.082468256715689,AZ,2023-03-12,1,0,1,0,0,1,0,0,1,0,0,1
156,3.00829445964508,0.1504772315980265,AZ,2023-03-13,1,1,0,1,1,0,1,0,0,0,1,0
157,1.16169767592271,0.0864867200117395,AZ,2023-03-14,1,1,1,1,1,1,1,0,0,0,1,1
158,1.52485462895837,0.118169650749854,AZ,2023-03-15,1,1,1,1,0,1,1,1,1,1,0,0
159,1.34814187065295,0.01912697375015795,AZ,2023-03-16,1,1,1,0,1,1,1,0,1,0,1,1
160,1.6739912950869,0.562017415351445,AZ,2023-03-17,1,1,0,0,0,1,1,1,0,0,0,0
161,1.87753715580708,0.523039593356525,AZ,2023-03-18,1,0,1,0,1,1,1,0,1,0,1,1
162,0.958878286181312,0.1671297513602375,AZ,2023-03-19,1,1,1,1,1,1,1,0,1,1,1,0
163,2.86940418651781,0.0929636435401605,AZ,2023-03-20,1,1,0,0,0,1,1,0,0,1,0,1
164,1.0532450577651,0.167375783714321,AZ,2023-03-21,1,1,1,1,0,1,1,0,1,0,0,1
165,0.944367447422535,0.09863139102366,AZ,2023-03-22,1,1,1,1,1,1,0,0,1,1,1,1
166,0.463759612933277,0.1124732102288915,AZ,2023-03-23,1,1,1,1,1,1,1,0,1,1,1,0
167,0.491623481642404,0.014003768070643,AZ,2023-03-24,1,1,1,1,1,1,1,0,1,0,1,1
168,0.0260402395397103,0.0136522473129927,AZ,2023-03-25,1,1,1,1,1,1,1,1,1,1,1,1
169,49.7641990016019,0.2639838601510465,CA,2023-02-12,1,0,0,0,1,0,0,0,0,0,0,0
170,47.0231343412345,0.244020481502971,CA,2023-02-13,0,0,0,0,1,0,0,0,0,0,1,0
171,27.4251635487587,0.2307025207421715,CA,2023-02-14,0,0,1,0,1,0,0,0,0,0,1,0
172,53.7405237940063,0.2532550292152115,CA,2023-02-15,0,0,0,0,1,0,0,0,0,0,0,0
173,48.4394157145239,0.2499714985094945,CA,2023-02-16,1,0,1,0,1,0,0,0,0,0,1,0
174,14.4362684744235,0.243588466674903,CA,2023-02-17,0,0,1,0,1,0,0,0,0,0,0,0
175,10.4010742377896,0.231766711939424,CA,2023-02-18,1,0,1,0,1,1,0,0,0,0,1,0
176,9.36729831338386,0.215635559438357,CA,2023-02-19,1,0,0,0,1,0,0,0,0,0,1,0
177,17.517353688959,0.187747720788659,CA,2023-02-20,0,0,0,0,1,1,0,0,0,0,0,0
178,11.7461625451347,0.2038160943621275,CA,2023-02-21,0,0,1,0,1,0,0,0,0,0,1,0
179,28.0003147205432,0.202223481319391,CA,2023-02-22,1,0,1,0,1,1,1,0,0,0,0,0
180,36.0672807424667,0.205333427430222,CA,2023-02-23,0,0,0,0,1,1,0,0,0,0,0,0
181,42.0095256342919,0.1595595410043065,CA,2023-02-24,0,0,1,0,1,0,0,0,0,0,0,0
182,4.98881220848604,0.23632990329361,CA,2023-02-25,1,0,1,0,0,0,0,0,0,0,0,1
183,5.62953758013395,0.1637168153795985,CA,2023-02-26,1,0,1,0,1,0,0,0,1,0,1,0
184,5.60628726273316,0.185629014058863,CA,2023-02-27,0,1,0,0,1,0,0,0,1,0,0,0
185,10.9037749093307,0.1753358197770885,CA,2023-02-28,0,0,0,0,0,0,0,0,0,0,0,1
186,23.0569526922949,0.1661284547559445,CA,2023-03-01,0,0,1,0,0,0,0,0,0,0,0,0
187,23.7667432478563,0.1518184465936995,CA,2023-03-02,0,0,0,0,0,0,0,0,0,0,0,0
188,18.5767632716575,0.1604622239543005,CA,2023-03-03,1,0,1,0,1,1,0,0,0,0,0,0
189,20.5911010497535,0.147880133751337,CA,2023-03-04,1,0,1,0,0,1,0,0,0,0,0,0
190,13.9765398916279,0.0845646738153115,CA,2023-03-05,1,0,1,0,1,1,0,0,1,0,1,0
191,1.92858018862717,0.1592968521272425,CA,2023-03-06,1,1,1,1,1,1,0,0,1,0,1,0
192,3.77249134118097,0.1748481381285395,CA,2023-03-07,1,0,1,0,0,1,0,0,0,0,0,0
193,11.8968708924521,0.179101977746747,CA,2023-03-08,0,0,0,0,0,0,0,0,0,0,0,0
194,21.0002473513448,0.1045239031853875,CA,2023-03-09,1,0,0,0,0,1,0,0,0,0,0,1
195,12.0965677462845,0.1330173014092065,CA,2023-03-10,1,0,0,0,0,1,0,0,0,0,0,0
196,10.770947405258,0.0966415059871375,CA,2023-03-11,1,0,0,0,0,1,0,0,0,0,0,1
197,7.18682389130079,0.149816603026239,CA,2023-03-12,1,0,0,0,0,1,1,0,0,1,0,1
198,6.1755153855777,0.166447250329674,CA,2023-03-13,1,0,0,1,0,1,1,0,0,1,0,1
199,5.04354850319043,0.132711279232302,CA,2023-03-14,1,0,1,0,0,1,0,0,0,0,0,0
200,3.77956094505287,0.1313039320418005,CA,2023-03-15,1,0,1,0,1,1,0,0,0,0,0,0
201,9.94505340581221,0.102999111806715,CA,2023-03-16,1,0,1,0,0,1,0,0,0,0,0,0
202,6.68553497762807,0.152866964821745,CA,2023-03-17,1,0,0,1,0,1,0,0,0,0,0,0
203,3.54391085122891,0.1331575951188985,CA,2023-03-18,1,0,1,1,0,0,1,0,1,0,0,0
204,1.76249510157135,0.1662967840650185,CA,2023-03-19,1,1,1,1,0,1,0,0,0,0,0,1
205,9.09490891201062,0.067966709518408,CA,2023-03-20,1,0,1,0,0,0,0,0,0,0,1,0
206,6.04975231369849,0.0930687129312455,CA,2023-03-21,1,0,1,0,1,0,1,0,0,0,0,0
207,5.27173436634337,0.1231297471795805,CA,2023-03-22,1,0,1,1,0,0,1,0,0,0,0,0
208,6.20426150464538,0.137403341294335,CA,2023-03-23,1,0,1,1,0,1,0,0,0,0,0,1
209,4.92203668094933,0.134553799819725,CA,2023-03-24,0,0,1,1,0,1,0,0,0,0,0,0
210,6.97180942495133,0.229876929709546,CA,2023-03-25,1,1,0,0,1,0,1,0,0,0,0,0
211,0.948758020865195,0.0868876855089845,CO,2023-02-12,1,1,1,0,1,1,1,1,1,1,1,1
212,1.87032326722062,0.2077511994033665,CO,2023-02-13,1,0,0,1,1,1,1,0,0,0,1,0
213,1.22681768653252,0.125212926092753,CO,2023-02-14,1,1,1,0,1,1,1,0,1,0,1,0
214,0.526251141329368,0.1492523439808435,CO,2023-02-15,1,1,1,1,1,1,1,0,0,0,1,1
215,2.41001969765089,0.131030474206155,CO,2023-02-16,1,0,1,0,1,1,1,0,1,0,1,0
216,0.817323330656722,0.1931728164931685,CO,2023-02-17,0,1,1,1,1,1,1,0,0,0,1,1
217,0.675302750170102,0.120295828103419,CO,2023-02-18,1,1,1,1,1,1,0,1,1,0,1,1
218,0.342281627164124,0.1919060926831075,CO,2023-02-19,1,1,1,1,1,1,1,0,1,0,1,1
219,0.678634860495266,0.1419529897256685,CO,2023-02-20,1,1,1,1,1,1,1,0,0,1,1,1
220,1.84906932457636,0.0759712224905905,CO,2023-02-21,1,1,1,0,1,1,1,0,1,0,1,0
221,0.901694415151125,0.160917090775162,CO,2023-02-22,1,1,0,1,1,1,1,0,0,1,1,1
222,0.770000306645313,0.030239327007283,CO,2023-02-23,1,1,1,1,1,1,1,0,1,0,1,1
223,1.26427298017493,0.0274228872095957,CO,2023-02-24,1,1,1,0,1,1,1,0,1,0,1,0
224,0.372993738985058,0.02487336740362555,CO,2023-02-25,1,1,1,1,1,1,1,1,1,1,1,1
225,0.345895519891038,0.02256737096809995,CO,2023-02-26,1,1,1,1,1,1,1,1,1,1,1,1
226,0.976254343306794,0.0686238431719715,CO,2023-02-27,1,1,1,1,1,1,1,0,1,0,1,1
227,0.805512185138887,0.15341679987201,CO,2023-02-28,1,1,1,1,1,1,1,0,1,0,1,1
228,2.13777654907824,0.0169003863419279,CO,2023-03-01,1,0,1,0,1,1,1,0,1,0,1,1
229,0.719751729991952,0.01536608492817085,CO,2023-03-02,1,1,1,1,1,1,1,1,1,1,1,1
230,0.340626892943152,0.01398166062738055,CO,2023-03-03,1,1,1,1,1,1,1,1,1,1,1,1
231,0.9655319612938,0.2977725669856065,CO,2023-03-04,1,1,1,1,1,0,1,1,1,0,1,0
232,0.386965268547932,0.0116060536907287,CO,2023-03-05,1,1,1,1,1,1,1,0,1,0,1,1
233,1.03396954336306,0.219172190485335,CO,2023-03-06,1,1,1,1,1,0,1,0,1,0,1,0
234,0.454130176385793,0.071955771962976,CO,2023-03-07,1,1,1,1,1,1,1,1,1,1,1,1
235,0.387062605669084,0.083218462515813,CO,2023-03-08,1,1,1,1,1,1,1,0,1,0,1,1
236,0.223537109993921,0.00809948994115415,CO,2023-03-09,1,1,1,1,1,1,1,1,1,1,1,1
