...1,es_score,brier_score,location,target_date,X22A_50_CI,X22B_50_CI,X22D_50_CI,X22E_50_CI,X22F_50_CI,X23A_50_CI,other_50_CI,X22A_95_CI,X22B_95_CI,X22D_95_CI,X22E_95_CI,X22F_95_CI,X23A_95_CI,other_95_CI
1,NA,NA,AK,2022-12-04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,NA,NA,AK,2022-12-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,NA,NA,AK,2022-12-06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,NA,NA,AK,2022-12-07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,NA,NA,AK,2022-12-08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6,0.477228600933828,0.375637125565174,AK,2022-12-09,1,1,1,1,1,1,1,0,1,1,0,1,1,1
7,NA,NA,AK,2022-12-10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8,NA,NA,AK,2022-12-11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9,0.461793421564038,0.3555496960710105,AK,2022-12-12,1,1,1,1,1,1,1,1,1,1,1,1,1,1
10,0.441964407936162,0.3491069735807345,AK,2022-12-13,1,1,1,1,1,1,1,1,0,1,0,1,1,1
11,NA,NA,AK,2022-12-14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12,0.423435197993913,0.3366036018286505,AK,2022-12-15,1,1,1,1,1,1,1,1,1,1,1,1,1,1
13,0.809603431428177,0.402955289471325,AK,2022-12-16,0,1,1,1,1,1,1,0,1,1,0,1,1,1
14,NA,NA,AK,2022-12-17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15,NA,NA,AK,2022-12-18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16,0.356074551385787,0.23063643541848,AK,2022-12-19,1,1,1,1,1,1,1,1,0,1,1,1,1,0
17,NA,NA,AK,2022-12-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
18,0.378924098907258,0.2414000779754275,AK,2022-12-21,1,1,1,1,1,1,1,1,1,1,1,1,1,1
19,NA,NA,AK,2022-12-22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20,NA,NA,AK,2022-12-23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
21,NA,NA,AK,2022-12-24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
22,NA,NA,AK,2022-12-25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23,NA,NA,AK,2022-12-26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
24,NA,NA,AK,2022-12-27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
25,0.320366125624121,0.2676827773379915,AK,2022-12-28,1,1,1,1,1,1,1,0,1,1,0,1,1,1
26,0.92952099651566,0.64891910952516,AK,2022-12-29,1,1,1,1,1,1,0,1,0,1,1,1,1,0
27,0.452393285430835,0.291041337477909,AK,2022-12-30,1,1,1,1,1,1,1,1,1,1,1,1,1,1
28,NA,NA,AK,2022-12-31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29,NA,NA,AK,2023-01-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
30,NA,NA,AK,2023-01-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
31,0.901101585822802,0.4416349397953755,AK,2023-01-03,1,1,1,1,1,0,1,0,1,1,1,1,0,1
32,0.675006547122212,0.2392946437736325,AK,2023-01-04,1,1,1,1,1,1,1,1,1,0,0,1,1,1
33,0.271939733866725,0.23572425792215,AK,2023-01-05,1,1,1,1,1,1,1,1,0,1,0,1,1,1
34,0.267821911669164,0.232271796402025,AK,2023-01-06,1,1,1,1,1,1,1,1,1,1,0,1,1,0
35,NA,NA,AK,2023-01-07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
36,NA,NA,AK,2023-01-08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
37,0.921291617084584,0.64186594315427,AK,2023-01-09,1,1,1,1,1,0,1,1,1,1,0,1,0,1
38,0.995646827823553,0.3605148717996415,AK,2023-01-10,1,1,1,1,1,0,1,0,0,1,0,1,0,1
39,0.255032853154384,0.2167140055170385,AK,2023-01-11,1,1,1,1,1,1,1,0,1,1,0,1,1,1
40,0.25118295371511,0.213927962682232,AK,2023-01-12,1,1,1,1,1,1,1,1,1,1,1,1,1,1
41,NA,NA,AK,2023-01-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
42,NA,NA,AK,2023-01-14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
43,0.724533741264493,0.256828485734942,AL,2022-12-04,1,1,1,1,1,1,1,1,0,1,0,1,1,1
44,0.560344924841546,0.2568880698710485,AL,2022-12-05,1,1,1,1,1,1,1,1,0,1,0,1,1,1
45,1.31432078301528,0.353695518239389,AL,2022-12-06,1,1,1,1,0,1,1,1,0,0,1,0,1,1
46,0.41097636717639,0.248526832730699,AL,2022-12-07,1,1,1,1,1,1,1,1,1,1,1,1,1,1
47,0.578170717775518,0.257425715818267,AL,2022-12-08,1,1,1,1,1,1,1,1,0,1,0,1,1,1
48,1.53023143166436,0.3359385524593915,AL,2022-12-09,1,0,1,1,1,0,1,1,0,1,0,1,0,1
49,2.06512793243946,0.223706275965546,AL,2022-12-10,1,0,1,0,1,1,1,0,0,0,0,1,1,1
50,1.21709166845043,0.4562396673071805,AL,2022-12-11,0,1,0,1,1,1,1,0,0,0,0,1,1,1
51,1.20763276905562,0.4105003235783595,AL,2022-12-12,1,1,0,1,0,1,1,0,1,0,1,0,1,0
52,0.252045044183024,0.191347083993401,AL,2022-12-13,1,1,1,1,1,1,1,1,1,1,1,1,1,1
53,0.454362071397932,0.2611122174125065,AL,2022-12-14,1,1,1,1,1,1,1,1,0,1,1,0,1,1
54,0.610730528978203,0.2503140923169765,AL,2022-12-15,1,1,1,1,1,1,1,1,1,1,1,1,1,1
55,1.08068863270719,0.3494092271477635,AL,2022-12-16,1,1,1,1,1,1,0,1,0,0,0,1,1,0
56,0.630974159820848,0.170980386818486,AL,2022-12-17,1,1,1,1,1,1,1,1,0,1,0,1,1,1
57,0.630728953798496,0.166609607911211,AL,2022-12-18,1,1,1,1,1,1,1,1,1,1,0,1,1,0
58,0.528185347335307,0.2139933397298195,AL,2022-12-19,1,1,1,1,1,1,1,1,1,1,1,1,1,1
59,3.49668466856652,0.2755152662791355,AL,2022-12-20,1,0,0,0,1,1,1,0,0,0,0,0,1,0
60,2.91830075676339,0.469856699766955,AL,2022-12-21,1,0,1,1,1,0,0,0,0,1,0,1,0,0
61,NA,NA,AL,2022-12-22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
62,NA,NA,AL,2022-12-23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
63,0.202361317579065,0.1459351088891835,AL,2022-12-24,1,1,1,1,1,1,1,1,1,1,1,1,1,1
64,NA,NA,AL,2022-12-25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
65,1.85738071635015,0.297127253113867,AL,2022-12-26,1,0,1,1,1,0,1,0,0,1,0,0,0,1
66,2.25347153498805,0.252641697516737,AL,2022-12-27,1,0,1,0,0,1,1,1,0,0,0,0,1,1
67,1.83009278303819,0.3612308610619835,AL,2022-12-28,1,1,1,1,0,0,1,0,1,1,0,0,0,1
68,3.58751001380836,0.3305367113799295,AL,2022-12-29,1,0,1,1,0,0,0,0,0,0,0,0,0,0
69,1.72328193401207,0.380075235691279,AL,2022-12-30,1,1,1,1,1,0,1,0,0,0,0,1,0,1
70,NA,NA,AL,2022-12-31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
71,NA,NA,AL,2023-01-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
72,3.868834473798,0.2615202246650295,AL,2023-01-02,1,0,1,0,1,0,1,1,0,0,0,1,0,0
73,1.47809084756489,0.2341574345743885,AL,2023-01-03,1,1,1,1,1,1,0,0,0,1,0,0,1,0
74,3.30679822262019,0.3958949756432535,AL,2023-01-04,1,0,1,1,0,0,1,0,0,0,0,0,0,1
75,3.02134382335684,0.326044043830489,AL,2023-01-05,1,0,1,1,1,0,1,1,0,1,0,1,0,1
76,1.64532613299129,0.4086152536834785,AL,2023-01-06,1,1,0,1,1,1,1,1,0,0,1,1,1,1
77,2.07990146321965,0.421853928773936,AL,2023-01-07,1,1,1,0,1,0,0,0,0,1,0,1,0,0
78,1.21101814759172,0.565370253312595,AL,2023-01-08,1,1,1,0,1,1,0,1,1,1,1,1,0,0
79,2.07924116258573,0.3356025941068135,AL,2023-01-09,1,0,1,1,1,0,0,1,0,0,0,1,0,0
80,2.06519545373422,0.278020006051633,AL,2023-01-10,1,0,1,1,1,0,1,1,0,1,0,1,0,0
81,0.892850676045129,0.4244429148301055,AL,2023-01-11,1,1,1,1,1,0,1,1,1,1,1,1,1,1
82,1.36787347196873,0.520122310650955,AL,2023-01-12,1,1,1,1,1,0,0,1,0,1,0,1,0,0
83,NA,NA,AL,2023-01-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
84,NA,NA,AL,2023-01-14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
85,0.356981779930324,0.2849972666779165,AR,2022-12-04,1,1,1,1,1,1,1,1,0,1,0,1,1,1
86,2.23156595824273,0.324021354143879,AR,2022-12-05,1,0,0,0,1,1,1,0,1,1,0,1,1,1
87,9.3588494682105,0.451137210447958,AR,2022-12-06,0,0,0,0,1,0,1,0,0,0,1,1,0,1
88,4.22020556070708,0.319787029896936,AR,2022-12-07,1,0,1,0,1,1,1,0,0,0,0,1,1,1
89,3.89158229355161,0.3721887036680325,AR,2022-12-08,1,0,0,0,1,1,1,0,0,0,0,1,1,1
90,4.9786721848863,0.391802877885024,AR,2022-12-09,1,0,0,0,1,1,1,1,0,0,0,1,1,0
91,1.00953444984116,0.289276611420346,AR,2022-12-10,1,1,1,0,1,1,1,1,0,1,0,1,1,1
92,2.11306243847707,0.3771344540262495,AR,2022-12-11,1,0,0,0,1,1,1,1,0,0,0,1,1,1
93,7.24697070737325,0.350476508295366,AR,2022-12-12,1,0,0,0,1,1,1,0,0,0,0,1,0,1
94,5.06485353209844,0.3542474635410605,AR,2022-12-13,1,0,0,0,1,1,1,1,0,0,0,1,1,0
95,8.06820773463448,0.331177996725627,AR,2022-12-14,0,0,0,0,1,1,1,0,0,0,0,0,0,1
96,4.93791212466359,0.332566818596423,AR,2022-12-15,1,0,1,0,1,1,1,1,0,0,0,1,1,1
97,1.5753160313681,0.3732057852802145,AR,2022-12-16,1,1,0,1,1,1,0,1,0,0,0,0,1,1
98,1.77344102195385,0.344487074977226,AR,2022-12-17,1,0,1,0,0,1,1,0,0,1,0,0,1,0
99,1.56523405430039,0.3313791707997835,AR,2022-12-18,1,0,1,0,1,1,1,1,0,0,0,1,1,1
100,6.84637026199379,0.294900152041963,AR,2022-12-19,1,0,0,0,1,0,1,0,0,0,0,1,0,1
101,3.17028699490234,0.3278531710221765,AR,2022-12-20,1,0,0,0,1,1,0,1,0,0,0,1,1,0
102,7.72066587421601,0.310913940048892,AR,2022-12-21,1,0,1,0,1,0,1,1,0,0,0,1,0,0
103,0.714907397620672,0.255091799391615,AR,2022-12-22,1,1,1,1,1,1,1,0,0,1,0,1,1,1
104,0.725846076207961,0.2645138888253455,AR,2022-12-23,1,1,1,1,1,1,1,1,0,1,0,1,1,1
105,3.39550201369766,0.219080481688538,AR,2022-12-24,1,0,1,0,1,1,1,1,0,1,0,1,1,1
106,1.34541196248132,0.314635843399781,AR,2022-12-25,1,0,0,1,1,1,1,1,0,0,0,1,1,1
