...1,es_score,brier_score,location,target_date,X22E_50_CI,X22F_50_CI,X23A_50_CI,X23C_50_CI,X23D_50_CI,X23B_50_CI,other_50_CI,X22E_95_CI,X22F_95_CI,X23A_95_CI,X23C_95_CI,X23D_95_CI,X23B_95_CI,other_95_CI
1,0.01232031740496,0.0140086828669532,AK,2023-03-19,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2,0.499481093432309,0.01325278049457815,AK,2023-03-20,1,1,1,1,1,1,1,0,1,0,1,1,1,1
3,0.417435448448063,0.1098043717146105,AK,2023-03-21,1,1,1,1,1,1,1,1,1,1,1,1,1,1
4,1.03998983331377,0.2309528909454045,AK,2023-03-22,1,1,1,0,1,1,1,1,1,0,0,1,1,1
5,NA,NA,AK,2023-03-23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6,0.670516829478233,0.1696265375611875,AK,2023-03-24,1,1,1,1,1,1,1,1,1,1,1,1,1,1
7,0.00835917593534009,0.0103768308263956,AK,2023-03-25,1,1,1,1,1,1,1,1,1,0,1,1,1,0
8,3.72001682111252,0.674233864891505,AK,2023-03-26,1,1,0,1,0,1,1,1,1,0,1,0,1,1
9,1.08002798862238,0.231498891498168,AK,2023-03-27,1,1,1,1,0,1,1,1,1,0,1,0,1,1
10,0.0259591327206936,0.00920979652638925,AK,2023-03-28,1,1,1,1,1,1,1,1,1,1,1,1,1,1
11,0.0477197212103598,0.00889254842148745,AK,2023-03-29,1,1,1,1,1,1,1,1,1,1,1,1,1,1
12,0.0789276940664608,0.0086067230098566,AK,2023-03-30,1,1,1,1,1,1,1,1,1,1,1,1,1,1
13,0.0444655027034368,0.00835010302318345,AK,2023-03-31,1,1,1,1,1,1,1,1,1,1,1,1,1,1
14,0.0664739096831125,0.00812075106073605,AK,2023-04-01,1,1,1,1,1,1,1,1,1,1,1,1,1,1
15,0.0991291125672719,0.0079169931583149,AK,2023-04-02,1,1,1,1,1,1,1,1,1,1,1,1,1,1
16,1.11324385986234,0.232225941381903,AK,2023-04-03,1,1,0,1,0,1,1,1,1,0,1,0,1,1
17,0.0585458920030178,0.0075807921069488,AK,2023-04-04,1,1,1,1,1,1,1,1,1,1,1,1,1,1
18,0.154649330247963,0.0074461902545386,AK,2023-04-05,1,1,1,1,1,1,1,1,1,1,1,1,1,1
19,0.0163858725259665,0.00733284260479875,AK,2023-04-06,1,1,1,1,1,1,1,1,1,1,1,1,1,1
20,1.07698099994357,0.187431064539154,AK,2023-04-07,1,1,1,1,0,1,1,1,1,0,1,0,1,1
21,0.0164837929471034,0.0071678994640337,AK,2023-04-08,1,1,1,1,1,1,1,1,1,1,1,1,1,1
22,0.00414332046442074,0.0071157865816595,AK,2023-04-09,1,1,1,1,1,1,1,1,1,1,1,1,1,1
23,1.32813009998526,0.90898708815363,AK,2023-04-10,1,1,0,1,0,1,1,1,1,0,1,0,1,1
24,0.0527359040739916,0.007072415244502,AK,2023-04-11,1,1,1,1,1,1,1,1,1,1,1,1,1,1
25,0.00347903607167765,0.00708178422155175,AK,2023-04-12,1,1,1,1,1,1,1,1,1,1,1,1,1,1
26,0.0508500358614251,0.0071126013464007,AK,2023-04-13,1,1,1,1,1,1,1,1,1,1,1,1,1,1
27,0.00383386225324135,0.0071656820892269,AK,2023-04-14,1,1,1,1,1,1,1,1,1,1,1,1,1,1
28,0.00350480304235457,0.0072420613012976,AK,2023-04-15,1,1,1,1,1,1,1,1,1,1,1,1,1,1
29,0.00395996767560325,0.00734300930703985,AK,2023-04-16,1,1,1,1,1,1,1,1,1,1,1,1,1,1
