...1,es_score,brier_score,location,target_date,X22B_50_CI,X22D_50_CI,X22E_50_CI,X22F_50_CI,X23A_50_CI,X23C_50_CI,recombinant_50_CI,other_50_CI,X22B_95_CI,X22D_95_CI,X22E_95_CI,X22F_95_CI,X23A_95_CI,X23C_95_CI,recombinant_95_CI,other_95_CI
1,0.20194442153933,0.148916269766373,AK,2023-01-08,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2,1.01208292699413,0.3160262353488865,AK,2023-01-09,1,0,1,1,1,1,1,1,1,0,0,1,0,1,0,1
3,1.38626173410111,0.209168922256605,AK,2023-01-10,1,1,0,1,1,1,1,1,0,1,0,1,0,1,1,1
4,1.06729747686787,0.2872919527266395,AK,2023-01-11,1,0,1,1,1,1,1,1,1,0,1,1,0,1,1,1
5,1.38352394895094,0.1566583401759365,AK,2023-01-12,1,1,0,1,1,1,1,1,0,1,0,1,1,1,1,1
6,1.16956712134378,0.261973023630467,AK,2023-01-13,1,1,1,1,1,1,1,1,0,1,0,0,0,1,1,1
7,0.215730825879375,0.161792500191686,AK,2023-01-14,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1
8,0.221706514575089,0.1646605698019375,AK,2023-01-15,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
9,0.77836312197309,0.236308734685749,AK,2023-01-16,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1
10,2.30948854848305,0.267348100188933,AK,2023-01-17,0,1,0,1,1,1,1,1,0,1,0,0,0,0,1,1
11,1.36769254277877,0.2461244520576035,AK,2023-01-18,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,0
12,1.01507479837678,0.33712727452044,AK,2023-01-19,1,1,1,1,0,1,1,1,1,1,0,1,0,1,1,1
13,1.95423327057301,0.2321759808471805,AK,2023-01-20,0,1,0,1,1,1,1,1,0,1,0,1,0,1,1,0
14,NA,NA,AK,2023-01-21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15,0.42184939306583,0.2908422556282395,AK,2023-01-22,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
16,0.681977239279324,0.194340862817215,AK,2023-01-23,1,1,0,1,1,1,1,1,1,1,0,0,1,1,1,1
17,1.88072034402834,0.2736843228789495,AK,2023-01-24,1,0,0,1,1,1,1,1,0,0,0,0,0,1,1,1
18,1.27557292484381,0.35390774899195,AK,2023-01-25,1,1,1,1,1,1,0,0,0,1,0,1,1,1,0,0
