...1,es_score,brier_score,location,target_date,X22B_50_CI,X22D_50_CI,X22E_50_CI,X22F_50_CI,X23A_50_CI,X23C_50_CI,other_50_CI,X22B_95_CI,X22D_95_CI,X22E_95_CI,X22F_95_CI,X23A_95_CI,X23C_95_CI,other_95_CI
1,0.999530665200623,0.3077164447582075,AK,2022-12-18,0,1,1,1,1,1,1,0,1,1,1,1,1,0
2,0.999071783658886,0.3063080932821285,AK,2022-12-19,1,1,1,0,1,1,1,0,1,0,0,1,1,1
3,0.411425535918934,0.2499460892944025,AK,2022-12-20,1,1,1,1,1,1,1,0,1,0,1,0,1,1
4,0.492519374911709,0.266754232736504,AK,2022-12-21,1,1,1,1,1,1,1,1,1,0,1,0,1,1
5,0.940336885108498,0.3162388362552285,AK,2022-12-22,1,0,1,1,1,1,1,0,0,0,1,1,1,1
6,0.28219430955609,0.207105161168468,AK,2022-12-23,1,1,1,1,1,1,1,1,1,1,1,1,1,1
7,0.510999963338248,0.2676686751494835,AK,2022-12-24,1,1,1,1,1,1,1,0,1,0,1,1,1,1
8,0.675969604911736,0.2014260425738455,AK,2022-12-25,1,1,1,1,1,1,1,0,1,0,1,1,1,1
9,2.27744262364311,0.387219392779245,AK,2022-12-26,0,0,1,1,0,1,1,0,0,0,0,0,1,1
10,5.76507099852692,0.53277651179307,AK,2022-12-27,1,0,0,1,0,1,1,0,0,0,1,0,1,0
11,1.73318702588824,0.414121638315464,AK,2022-12-28,0,0,1,1,1,1,1,0,0,0,1,1,1,1
12,1.0578604682011,0.3430584709236525,AK,2022-12-29,1,1,1,1,1,0,1,0,1,1,1,1,0,1
13,2.10587739747247,0.4686204001424685,AK,2022-12-30,1,0,0,1,0,1,1,0,0,1,1,1,1,1
14,1.30978145066415,0.415910703614431,AK,2022-12-31,0,0,1,1,0,1,1,0,0,1,0,0,1,1
15,0.868013508743473,0.4122232127385195,AK,2023-01-01,1,0,1,1,1,1,1,1,0,0,0,0,1,1
16,1.20165125872157,0.298310485652544,AK,2023-01-02,1,0,1,1,1,1,1,0,1,0,0,0,1,1
17,3.01767718451722,0.338753062124539,AK,2023-01-03,0,1,1,1,0,1,1,0,1,0,0,1,1,1
18,1.87693851614615,0.252765667144662,AK,2023-01-04,0,0,0,1,1,1,1,0,0,0,0,0,1,0
19,0.976712421729848,0.1808811012617095,AK,2023-01-05,1,1,0,1,1,1,1,0,1,0,1,1,1,1
20,0.965509794350943,0.333795102225765,AK,2023-01-06,1,0,1,1,1,1,1,0,0,0,1,0,1,1
21,0.843453078669845,0.4137872988540075,AK,2023-01-07,1,1,1,1,0,1,1,0,1,0,1,0,1,0
22,0.225872490761888,0.1782842731062875,AK,2023-01-08,1,1,1,1,1,1,1,1,1,1,1,1,1,1
23,1.38173499797141,0.3648288697763775,AK,2023-01-09,0,0,1,1,0,1,1,0,0,0,0,1,1,1
24,1.67304102581633,0.255703597512278,AK,2023-01-10,0,1,0,1,0,1,1,0,1,0,1,0,1,1
25,0.997538791538522,0.2865532635225485,AK,2023-01-11,1,0,1,1,1,1,1,1,0,0,1,0,1,1
26,1.27270866528021,0.1769639499258915,AK,2023-01-12,1,1,0,1,1,1,1,0,1,0,1,0,1,0
27,1.83662368218435,0.333600950795614,AK,2023-01-13,0,1,1,1,0,1,1,0,1,0,0,0,1,0
28,0.214919887555216,0.1773100078469115,AK,2023-01-14,1,1,1,1,1,1,1,1,1,0,1,1,1,0
29,0.206696362970933,0.1777572415613185,AK,2023-01-15,1,1,1,1,1,1,1,0,1,0,1,1,1,1
30,1.0933447258991,0.295187598462185,AK,2023-01-16,1,1,1,1,0,1,1,0,1,0,0,0,1,1
