...1,es_score,brier_score,location,target_date,X21L_50_CI,X22B_50_CI,X22D_50_CI,X22E_50_CI,X22F_50_CI,X23A_50_CI,X23C_50_CI,recombinant_50_CI,other_50_CI,X21L_95_CI,X22B_95_CI,X22D_95_CI,X22E_95_CI,X22F_95_CI,X23A_95_CI,X23C_95_CI,recombinant_95_CI,other_95_CI
1,1.4919006251923,0.272828666809848,AK,2022-12-11,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2,2.01494551588716,0.315678631718724,AK,2022-12-12,1,0,1,0,1,1,1,1,1,1,0,0,0,1,1,1,1,1
3,1.71172199265009,0.3465868842901945,AK,2022-12-13,0,0,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1
4,0.477621164524293,0.2594041206332965,AK,2022-12-14,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1
5,1.18741782396587,0.3763174395429105,AK,2022-12-15,1,0,0,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1
6,1.44895836752151,0.3091801658703575,AK,2022-12-16,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0
7,0.361495783520595,0.249864800730703,AK,2022-12-17,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1
8,0.900557879161281,0.273077668958365,AK,2022-12-18,1,0,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1
9,1.13929080591584,0.313189321444794,AK,2022-12-19,1,1,1,1,0,1,1,1,1,1,0,0,0,0,1,1,1,0
10,0.473907418379512,0.253965266062158,AK,2022-12-20,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1
11,0.468022689172148,0.2604073115401725,AK,2022-12-21,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1
12,1.03841678285019,0.32164821060563,AK,2022-12-22,1,1,0,1,1,1,1,1,1,0,0,0,0,1,1,1,1,0
13,0.332960390370274,0.2348758995644465,AK,2022-12-23,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
14,0.478797180011725,0.260944096806522,AK,2022-12-24,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1
15,0.806277630672886,0.231554163705627,AK,2022-12-25,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
16,2.49186698208926,0.399810469164683,AK,2022-12-26,1,0,0,1,1,0,1,1,1,0,0,0,1,0,0,1,1,1
17,5.48327224507669,0.51353753609605,AK,2022-12-27,1,0,0,0,1,0,1,1,1,1,0,0,0,1,0,1,1,1
18,1.7723955966018,0.419043897126861,AK,2022-12-28,1,0,0,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1
19,1.16980983460302,0.3758618405211865,AK,2022-12-29,1,1,1,1,1,1,0,1,1,1,0,1,0,1,1,0,1,1
20,1.91560491361756,0.448209147780669,AK,2022-12-30,1,1,0,0,1,0,1,1,1,1,0,0,0,1,0,1,1,1
21,1.41127168440022,0.4276174080364855,AK,2022-12-31,1,0,0,1,1,0,1,1,1,1,0,0,0,1,0,1,1,1
22,0.880829712740272,0.416299195417721,AK,2023-01-01,1,1,0,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1
23,1.41240048848181,0.320968477652971,AK,2023-01-02,1,0,0,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1
24,3.53074574695042,0.3668338199918575,AK,2023-01-03,1,0,1,0,1,0,1,1,1,1,0,1,0,1,0,1,1,1
25,2.48498230653303,0.276540385179549,AK,2023-01-04,1,0,1,0,1,1,1,1,1,1,0,1,0,1,0,1,1,1
26,1.24447890825958,0.227314957340888,AK,2023-01-05,1,1,1,0,1,1,1,1,1,1,0,1,0,1,1,1,1,1
27,1.08676613656002,0.351991605063707,AK,2023-01-06,1,1,0,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1
28,0.913347292070959,0.436877221639046,AK,2023-01-07,1,1,1,1,1,0,1,1,1,1,0,1,1,1,0,1,1,1
29,0.323466732296683,0.2300479914104625,AK,2023-01-08,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
30,1.62731637440355,0.386416165744254,AK,2023-01-09,1,0,0,1,1,0,1,1,1,1,0,0,0,1,0,1,1,1
31,2.24559266542852,0.3010793447204785,AK,2023-01-10,1,0,1,0,1,0,1,1,1,1,0,1,0,1,0,1,1,1
32,1.32740190114742,0.303502896396531,AK,2023-01-11,1,1,0,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1
33,1.77574974710205,0.236010631342676,AK,2023-01-12,1,0,1,0,1,1,1,1,1,1,0,1,0,1,1,1,1,1
34,2.26017604543922,0.372329088727888,AK,2023-01-13,1,0,1,1,1,0,1,1,1,1,0,1,0,0,0,1,1,1
35,0.343356684382204,0.239880549546501,AK,2023-01-14,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1
36,0.334261381988754,0.242010869158092,AK,2023-01-15,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0
37,1.46252143077684,0.343125539800209,AK,2023-01-16,1,0,1,1,1,0,1,1,1,1,0,1,0,1,0,1,1,1
38,4.52310542114946,0.3680928514531335,AK,2023-01-17,1,0,1,0,0,0,1,1,1,1,0,1,0,1,0,1,1,0
39,2.16211390189882,0.3018822774709655,AK,2023-01-18,1,1,1,0,1,0,1,1,1,1,0,1,0,1,0,1,1,1
40,1.68875790065478,0.5094077172737,AK,2023-01-19,1,1,1,1,1,0,1,1,1,1,0,0,0,1,0,1,1,1
41,3.36299911882905,0.33947692691523,AK,2023-01-20,1,0,1,0,1,0,1,1,1,1,0,1,0,1,0,0,1,0
42,NA,NA,AK,2023-01-21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
43,1.23337153815571,0.469045526194107,AL,2022-12-11,1,1,0,1,1,1,1,1,0,1,0,0,1,1,1,1,1,0
44,1.15787474885888,0.409510854442058,AL,2022-12-12,1,1,0,1,0,1,1,1,1,1,1,0,0,0,1,1,1,0
45,0.206264250021014,0.136719256722994,AL,2022-12-13,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1
46,0.591633436082614,0.2773722310234005,AL,2022-12-14,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1
47,0.764768408607616,0.257741041080378,AL,2022-12-15,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1
