...1,es_score,brier_score,location,target_date,X21L_50_CI,X22A_50_CI,X22B_50_CI,X22D_50_CI,X22E_50_CI,other_50_CI,X21L_95_CI,X22A_95_CI,X22B_95_CI,X22D_95_CI,X22E_95_CI,other_95_CI
58,1.06742150407175,0.4321561625718095,AL,2022-10-17,1,1,1,0,1,1,1,1,0,0,1,1
59,0.0335350905913022,0.02613903102292215,AL,2022-10-18,1,1,1,1,1,1,1,1,1,1,1,1
60,0.117011681456492,0.0261205777085341,AL,2022-10-19,1,1,1,1,1,1,1,1,1,1,1,1
61,0.0333442990394734,0.0261109221348615,AL,2022-10-20,1,1,1,1,1,1,1,1,1,1,1,1
62,0.0352352015651939,0.02611127794945365,AL,2022-10-21,1,1,1,1,1,1,1,1,1,1,1,1
63,0.0344903211406754,0.02612303479596995,AL,2022-10-22,1,1,1,1,1,1,1,1,1,1,1,1
64,0.115786206305074,0.02614778359905295,AL,2022-10-23,1,1,1,1,1,1,1,1,1,1,1,1
65,0.0331933883098443,0.02618734648490205,AL,2022-10-24,1,1,1,1,1,1,1,1,1,1,1,1
66,0.11333527085853,0.0262438123187467,AL,2022-10-25,1,1,1,1,1,1,1,1,1,1,1,1
67,1.33060771131417,0.397429237464258,AL,2022-10-26,1,1,0,1,0,1,1,0,1,1,0,1
68,2.33045568445473,0.823111046738985,AL,2022-10-27,1,1,0,0,1,1,1,1,0,0,1,1
69,NA,NA,AL,2022-10-28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
70,1.02560349046431,0.426326599477874,AL,2022-10-29,1,1,1,1,0,1,0,1,1,1,0,1
71,0.758335408610095,0.366427517200466,AL,2022-10-30,1,0,1,1,1,1,1,0,0,1,1,1
72,0.841392786425804,0.186150461675961,AL,2022-10-31,1,1,1,1,0,1,1,1,0,1,0,1
73,1.13440356842881,0.3214966910557715,AL,2022-11-01,1,1,0,1,0,1,1,0,0,0,0,1
74,0.903387775383314,0.2911528580010505,AL,2022-11-02,1,1,1,1,0,1,1,1,0,1,0,1
75,3.05007116436384,0.515799121597335,AL,2022-11-03,1,0,0,1,0,1,1,0,0,1,0,1
76,1.15081451855683,0.81303141373715,AL,2022-11-04,1,1,0,1,0,1,1,1,0,1,0,1
77,1.1654671711375,0.790562428857365,AL,2022-11-05,1,1,0,0,1,1,1,1,0,0,1,1
78,1.15279444583012,0.807010988759545,AL,2022-11-06,1,1,0,1,0,1,1,0,1,1,0,1
79,1.76587647672924,0.3396490837090545,AL,2022-11-07,1,1,0,1,0,1,1,1,0,1,0,1
80,0.117564815834309,0.0312078989240057,AL,2022-11-08,1,1,1,1,1,1,1,1,1,1,1,1
81,1.2468328091266,0.388847259175237,AL,2022-11-09,1,1,0,1,0,1,1,0,0,1,0,1
82,2.64372078642056,0.3581827544268565,AL,2022-11-10,1,1,0,1,0,1,1,1,0,1,0,1
83,1.11387559971047,0.786410789591905,AL,2022-11-11,1,1,0,1,0,1,1,1,0,1,0,1
84,0.818605537784833,0.284594583692282,AL,2022-11-12,1,1,1,1,0,1,1,1,0,1,0,1
85,0.339993594164116,0.0134676367514505,AR,2022-10-02,1,1,1,1,1,1,1,1,0,1,0,1
86,1.23192911288218,0.1783361659080135,AR,2022-10-03,1,0,1,1,1,1,1,0,0,1,1,1
87,1.01097659260594,0.1958399213646685,AR,2022-10-04,1,1,1,1,0,1,1,0,1,1,0,1
88,2.63565030048936,0.0133109612354376,AR,2022-10-05,1,0,0,1,1,1,1,0,0,1,1,1
89,0.326634517669282,0.0132538328213246,AR,2022-10-06,1,1,1,1,1,1,1,0,0,1,1,1
90,1.80275839054407,0.192404591930162,AR,2022-10-07,1,1,1,1,1,0,1,0,0,0,1,0
91,0.359800859935823,0.141829913136363,AR,2022-10-08,1,1,1,1,1,1,1,0,0,1,1,1
92,0.147196372858592,0.01306819879110065,AR,2022-10-09,1,1,1,1,1,1,1,1,1,1,1,1
93,0.534690358078746,0.013001802904943899,AR,2022-10-10,1,1,1,1,1,1,1,1,1,1,1,1
94,0.501470097875749,0.098933945566384,AR,2022-10-11,1,1,1,1,1,1,1,0,0,1,1,1
95,0.436202361189483,0.167794142569097,AR,2022-10-12,1,1,1,1,1,1,1,0,0,1,1,1
96,0.366296443557319,0.1420118703451865,AR,2022-10-13,1,1,1,1,1,1,1,0,0,1,1,1
97,0.526061074098205,0.2067212386810955,AR,2022-10-14,1,1,1,1,1,1,1,1,1,1,1,1
98,0.671813069189051,0.2715502553500745,AR,2022-10-15,1,1,1,1,1,1,1,0,0,1,1,1
99,0.540811291710024,0.206927789681951,AR,2022-10-16,1,1,1,1,1,1,1,0,0,1,1,1
100,1.58556275956491,0.255347127983911,AR,2022-10-17,1,1,0,1,0,1,1,0,0,1,0,1
101,1.09421900491636,0.091975422876668,AR,2022-10-18,1,1,1,0,1,1,1,1,0,0,1,1
102,0.855221823950761,0.4021839692279335,AR,2022-10-19,1,0,0,1,1,1,1,0,0,1,1,1
103,0.55720055874676,0.207372012034938,AR,2022-10-20,1,1,1,1,1,1,1,0,0,1,1,1
104,1.77900755075199,0.4491541422975105,AR,2022-10-21,0,1,0,0,1,1,0,1,0,0,1,1
105,0.511151180477019,0.01209868023405165,AR,2022-10-22,1,1,1,1,1,1,1,1,1,1,1,1
106,0.142699370682419,0.0120234540769816,AR,2022-10-23,1,1,1,1,1,1,0,0,0,1,1,1
107,3.45393334997608,0.248311845203166,AR,2022-10-24,1,1,0,1,0,1,1,1,0,1,0,1
108,3.4152034566608,0.2646360002773565,AR,2022-10-25,0,1,0,1,0,1,0,0,0,1,0,1
109,0.555793128931961,0.20808227494436,AR,2022-10-26,1,1,1,1,1,1,1,1,1,1,1,1
110,0.393472851648287,0.142717190400923,AR,2022-10-27,1,1,1,1,1,1,1,0,0,1,1,1
111,0.132029711565095,0.0116928375245567,AR,2022-10-28,1,1,1,1,1,1,1,0,0,1,1,1
112,0.212117263178195,0.0116417032471432,AR,2022-10-29,1,1,1,1,1,1,1,1,1,1,1,1
113,1.53895461393615,0.426637719547526,AR,2022-10-30,0,1,0,1,1,1,0,0,0,1,1,1
114,3.19985234480665,0.3042168781945785,AR,2022-10-31,1,0,0,1,0,1,1,0,0,1,0,1
115,2.51822211793875,0.431278671548664,AR,2022-11-01,1,1,0,1,0,1,1,0,0,1,0,1
116,2.41689953717665,0.183119292488635,AR,2022-11-02,1,0,0,1,1,1,1,0,0,1,1,1
117,1.39900341162232,0.1355024074800505,AR,2022-11-03,1,1,1,0,0,1,1,1,0,0,0,1
118,2.16145511438711,0.441431855892236,AR,2022-11-04,1,1,0,1,0,1,1,1,0,1,0,1
119,1.59740630914551,0.3276399341022675,AR,2022-11-05,1,0,0,1,1,1,1,0,0,1,1,1
120,1.93496339769869,0.834289321723035,AR,2022-11-06,1,0,0,1,0,1,1,0,0,1,0,1
121,0.129753825503338,0.01173715844979545,AR,2022-11-07,1,1,1,1,1,1,1,1,1,1,1,1
122,2.36874111364514,0.311657465347078,AR,2022-11-08,1,1,0,0,0,1,1,1,0,0,0,1
123,0.906718792261801,0.1811034554119385,AR,2022-11-09,1,1,1,1,0,1,1,0,1,1,0,1
124,0.465957508364439,0.0122077660144814,AR,2022-11-10,1,1,1,1,1,1,1,1,1,1,1,1
125,0.0641163846400688,0.01245274926284705,AR,2022-11-11,1,1,1,1,1,1,1,1,1,1,1,1
126,0.0182741140631867,0.0127536944203008,AR,2022-11-12,1,1,1,1,1,1,1,1,1,1,1,1
127,3.5815318739157598,0.292286873002132,AZ,2022-10-02,1,1,0,1,0,1,1,0,0,1,0,1
128,4.22002188475768,0.1760261595284995,AZ,2022-10-03,1,1,0,0,0,1,1,0,0,0,0,1
129,1.62511520285313,0.1825423875296585,AZ,2022-10-04,1,0,0,1,0,1,1,1,1,0,0,1
130,0.623375318195822,0.0799951680948225,AZ,2022-10-05,1,1,1,1,1,1,1,0,0,1,0,1
131,0.60276181713311106,0.1103757929099735,AZ,2022-10-06,1,1,1,1,1,1,1,0,0,1,1,1
132,0.836627200848292,0.1338804796722505,AZ,2022-10-07,1,1,1,1,1,1,1,0,0,0,0,1
133,2.8231663626049,0.343363264742917,AZ,2022-10-08,1,0,0,1,0,1,1,1,0,1,0,1
134,0.814822010146624,0.134207501931124,AZ,2022-10-09,1,1,1,1,0,1,1,1,0,1,0,1
135,7.87152300578885,0.1643970186697925,AZ,2022-10-10,1,0,0,1,0,1,0,0,0,0,0,0
136,0.615627325473503,0.0608971926249395,AZ,2022-10-11,1,1,1,1,1,1,1,1,0,1,0,1
137,2.73103050401484,0.2015052009306485,AZ,2022-10-12,1,0,0,0,0,1,1,1,0,0,0,1
138,4.43155952688585,0.240773069720791,AZ,2022-10-13,1,1,0,1,0,1,1,0,0,0,0,1
139,1.39537211070421,0.177393082320592,AZ,2022-10-14,1,1,1,1,0,1,1,0,0,1,0,1
140,0.745139657006231,0.0960807967037685,AZ,2022-10-15,1,1,1,1,1,1,1,1,0,1,1,0
141,1.41994897002837,0.164312467629068,AZ,2022-10-16,1,1,1,1,0,1,1,0,1,1,0,1
142,3.06079863767205,0.1156016001809755,AZ,2022-10-17,1,0,1,1,0,1,1,0,0,1,0,1
143,5.96603785661771,0.247413489721708,AZ,2022-10-18,1,1,0,1,0,1,1,0,0,0,0,1
144,9.18849325181285,0.3261279033879545,AZ,2022-10-19,1,0,0,1,0,0,1,0,0,1,0,1
145,6.50480978616365,0.2975938742821795,AZ,2022-10-20,1,0,0,1,0,1,1,0,0,1,0,1
146,1.16778052793129,0.138232902201004,AZ,2022-10-21,1,1,1,1,0,1,1,1,0,1,0,1
147,0.949849342626779,0.412875930141988,AZ,2022-10-22,1,1,1,1,0,1,1,1,1,1,1,1
148,0.565993386203812,0.1143877610266295,AZ,2022-10-23,1,1,1,1,1,1,1,1,0,1,0,1
149,6.07816493608862,0.301448474212557,AZ,2022-10-24,1,0,0,1,0,1,1,0,0,0,0,1
150,8.13565844297956,0.3065554807660975,AZ,2022-10-25,0,1,0,0,0,1,0,0,0,0,0,1
151,6.3496015103122,0.2662780556786965,AZ,2022-10-26,1,0,0,0,0,1,1,0,0,0,0,1
152,8.31603510815271,0.413436672883385,AZ,2022-10-27,1,1,0,1,0,1,1,0,0,0,0,1
153,2.79911456025509,0.215223147760105,AZ,2022-10-28,1,0,0,1,0,1,1,0,0,0,0,0
154,6.90082258333606,0.429970369375499,AZ,2022-10-29,1,0,0,0,0,1,1,0,0,0,0,1
155,3.16233899273926,0.3427583137080555,AZ,2022-10-30,0,0,0,1,1,1,0,0,0,1,0,1
156,15.0205874194074,0.339940979269618,AZ,2022-10-31,1,1,0,0,0,1,1,1,0,0,0,1
157,5.44788661902658,0.272328892032973,AZ,2022-11-01,1,1,0,0,0,1,1,0,0,0,0,0
158,8.77382725318267,0.29094044270645403,AZ,2022-11-02,1,0,0,0,0,1,1,0,0,0,0,1
159,16.5002986268182,0.462502604572429,AZ,2022-11-03,1,0,0,0,0,0,1,0,0,0,0,0
160,9.21334384318515,0.287340050921012,AZ,2022-11-04,1,0,0,1,0,0,1,0,0,1,0,0
161,6.65294315518692,0.33109751042091,AZ,2022-11-05,1,0,0,0,0,0,1,0,0,0,0,0
162,1.31613930600213,0.2343533347813095,AZ,2022-11-06,1,1,1,1,1,0,1,0,0,1,0,0
163,22.5316903000065,0.29946948080256103,AZ,2022-11-07,0,0,0,0,0,1,0,0,0,0,0,0
