...1,es_score,brier_score,location,target_date,X22B_50_CI,X22E_50_CI,X22F_50_CI,X23A_50_CI,X23C_50_CI,other_50_CI,X22B_95_CI,X22E_95_CI,X22F_95_CI,X23A_95_CI,X23C_95_CI,other_95_CI
1,0.392329582174973,0.2455881540161265,AK,2023-01-29,1,1,1,1,1,1,1,0,1,0,0,1
2,0.964786453981221,0.175079580436217,AK,2023-01-30,1,0,1,1,1,1,1,0,1,0,1,1
3,1.54842320210344,0.293121256967699,AK,2023-01-31,1,1,1,0,1,1,0,0,1,0,1,1
4,1.26358856242565,0.372592359669941,AK,2023-02-01,1,0,1,0,1,1,1,1,1,1,1,1
5,3.92329539449127,0.30562254821334,AK,2023-02-02,1,0,1,0,1,1,1,0,1,0,0,0
6,1.18641260418291,0.386414653803418,AK,2023-02-03,1,1,0,1,1,1,1,0,0,0,1,1
7,0.888614163962444,0.260938180700655,AK,2023-02-04,1,1,1,1,1,1,1,0,1,0,1,1
8,1.96968597408072,0.346478805550532,AK,2023-02-05,1,0,1,0,1,1,1,0,1,0,1,1
9,9.15043825051901,0.3300623792525845,AK,2023-02-06,1,0,1,0,1,1,1,0,0,0,1,0
10,2.32311723615911,0.3651874862936315,AK,2023-02-07,1,0,1,0,0,1,1,0,1,0,0,1
11,2.47607375434131,0.3369431466920625,AK,2023-02-08,1,0,1,0,1,1,1,0,0,0,1,1
12,0.326154773380626,0.266225693131946,AK,2023-02-09,1,1,1,1,1,1,1,1,1,1,1,1
13,4.88656091828689,0.3154766043408795,AK,2023-02-10,1,0,1,0,1,1,1,0,0,0,1,1
14,2.80712847147028,0.294444485859523,AK,2023-02-11,1,0,1,0,1,1,1,0,1,0,1,1
15,2.63891448616775,0.3036860932205575,AK,2023-02-12,1,0,1,0,1,1,1,0,1,0,1,0
16,2.73471355798881,0.3013839720849985,AK,2023-02-13,1,0,1,0,1,1,0,0,0,0,1,1
17,1.63571033189707,0.2720038210115735,AK,2023-02-14,1,1,1,0,1,1,1,0,1,0,1,0
