...1,es_score,brier_score,location,target_date,X22F_50_CI,X23A_50_CI,X23B_50_CI,X23C_50_CI,X23D_50_CI,X23E_50_CI,X23F_50_CI,recombinant_50_CI,X23G_50_CI,other_50_CI,X22F_95_CI,X23A_95_CI,X23B_95_CI,X23C_95_CI,X23D_95_CI,X23E_95_CI,X23F_95_CI,recombinant_95_CI,X23G_95_CI,other_95_CI
63,NA,NA,AL,2023-07-29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
64,NA,NA,AL,2023-07-30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
65,0.67722463186291,0.3689027065159535,AL,2023-07-31,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1
66,0.95709312604667,0.43176008124305,AL,2023-08-01,0,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1
67,0.675227485064376,0.381747811968791,AL,2023-08-02,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
68,0.418650319737497,0.2847186598110585,AL,2023-08-03,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1
69,0.777838785699705,0.555495368425965,AL,2023-08-04,0,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1
70,NA,NA,AL,2023-08-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
71,NA,NA,AL,2023-08-06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
72,NA,NA,AL,2023-08-07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
73,0.776061783931958,0.55372352904324,AL,2023-08-08,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
74,0.437081765107742,0.3014674914005195,AL,2023-08-09,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
75,0.444614658502909,0.304198541118534,AL,2023-08-10,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1
76,NA,NA,AL,2023-08-11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
77,NA,NA,AL,2023-08-12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
78,NA,NA,AL,2023-08-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
79,0.456899705452652,0.3417243484733385,AL,2023-08-14,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1
80,NA,NA,AL,2023-08-15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
81,1.00720931322213,0.506208897665795,AL,2023-08-16,1,1,1,1,0,1,0,1,1,1,0,1,1,1,0,1,0,1,0,1
82,0.524346963035759,0.3317181398757965,AL,2023-08-17,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1
83,1.14054226853076,0.3981089025473295,AL,2023-08-18,1,1,0,1,1,1,1,1,1,1,1,0,0,1,1,0,0,1,1,1
84,1.03509335685179,0.341199785754125,AL,2023-08-19,1,1,0,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1
85,NA,NA,AR,2023-07-09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
86,2.11153766125125,0.6115748344621,AR,2023-07-10,1,0,1,1,0,1,0,1,1,1,0,0,0,1,0,1,0,1,1,1
87,NA,NA,AR,2023-07-11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
88,NA,NA,AR,2023-07-12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
89,0.159751487194588,0.1343725505237415,AR,2023-07-13,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
90,NA,NA,AR,2023-07-14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
91,NA,NA,AR,2023-07-15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
92,NA,NA,AR,2023-07-16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
93,0.164516411090267,0.1393946105794295,AR,2023-07-17,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
94,NA,NA,AR,2023-07-18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
95,0.74701940943271,0.389375680450415,AR,2023-07-19,0,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1
96,NA,NA,AR,2023-07-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
97,0.699397662497025,0.4463836831805925,AR,2023-07-21,1,1,0,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1
98,NA,NA,AR,2023-07-22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
99,NA,NA,AR,2023-07-23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
100,NA,NA,AR,2023-07-24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
101,NA,NA,AR,2023-07-25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
102,1.15188966631405,0.52480747491161,AR,2023-07-26,1,0,1,1,1,1,0,1,1,1,1,0,1,1,1,1,0,1,1,1
103,NA,NA,AR,2023-07-27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
104,2.0046855022129,0.516249902437145,AR,2023-07-28,1,0,0,1,1,1,0,1,1,1,1,0,0,1,0,1,1,1,1,1
105,NA,NA,AR,2023-07-29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
106,NA,NA,AR,2023-07-30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
107,0.691165907183434,0.442353962038172,AR,2023-07-31,1,1,0,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1
108,2.25686029234427,0.4884257023705435,AR,2023-08-01,0,0,1,1,1,0,1,1,1,1,0,0,0,1,0,0,0,1,1,1
109,1.9236310650911,0.409586771179287,AR,2023-08-02,1,0,0,1,1,1,1,1,1,1,0,1,0,1,0,1,0,1,0,1
110,NA,NA,AR,2023-08-03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
111,0.815513180236527,0.56784755802876,AR,2023-08-04,1,1,1,1,0,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1
112,NA,NA,AR,2023-08-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
113,NA,NA,AR,2023-08-06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
114,0.864642096721339,0.59900444703904,AR,2023-08-07,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,0,1,1,1
115,2.77592560658781,0.492881989621425,AR,2023-08-08,1,0,0,1,0,1,1,1,1,1,1,0,0,1,0,1,0,1,1,1
116,1.92795311483578,0.4909315787151545,AR,2023-08-09,1,0,1,1,1,1,0,0,1,1,1,0,0,1,1,1,0,0,0,1
117,0.194837149857232,0.150442224710171,AR,2023-08-10,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1
118,0.47517108804513303,0.29905544613726,AR,2023-08-11,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1
119,NA,NA,AR,2023-08-12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
120,NA,NA,AR,2023-08-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
121,0.483737957855331,0.3002052353128435,AR,2023-08-14,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1
122,1.10098325776037,0.52515582358262,AR,2023-08-15,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,0,1,1,1
123,1.04041673767921,0.381134012437456,AR,2023-08-16,1,1,1,1,1,0,0,1,1,1,1,1,0,1,1,0,0,1,1,1
124,1.80517171810498,0.377794147216564,AR,2023-08-17,1,1,0,1,1,1,1,1,1,1,1,0,0,1,0,0,1,1,1,1
125,0.803702544157932,0.3448206628195475,AR,2023-08-18,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,0,1,1,1,1
126,0.864823356468818,0.626552574462355,AR,2023-08-19,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,0,1,1,1,1
127,5.37070222183995,0.4273998923663755,AZ,2023-07-09,1,0,0,1,1,1,1,1,0,1,1,0,0,1,0,1,1,1,0,1
128,2.49408687861498,0.388945766101436,AZ,2023-07-10,1,1,0,1,1,1,0,1,0,1,0,0,0,1,0,1,0,1,0,1
129,2.51242575479412,0.388783468243838,AZ,2023-07-11,1,1,1,1,0,1,0,1,1,1,0,1,0,1,0,1,1,0,1,0
130,1.42139514731997,0.368107667081252,AZ,2023-07-12,1,1,1,1,1,1,1,0,1,1,0,0,0,1,0,0,0,0,1,1
131,2.02457541516355,0.3367319188113345,AZ,2023-07-13,1,0,0,1,1,1,1,1,1,0,0,1,1,1,0,1,0,1,1,0
132,1.08894247469218,0.3933590000468225,AZ,2023-07-14,0,1,1,1,1,1,1,1,1,1,0,0,0,1,0,0,0,1,1,1
133,2.11874431019093,0.436132691275467,AZ,2023-07-15,1,1,1,1,1,1,0,1,1,1,1,0,0,1,0,1,0,1,1,1
134,1.56655927556977,0.348288524029185,AZ,2023-07-16,1,1,0,1,1,1,1,1,1,1,0,0,1,0,1,0,0,1,1,1
135,2.45121467140983,0.3803466396031435,AZ,2023-07-17,1,1,1,1,1,0,1,1,1,1,0,0,1,1,0,0,0,1,0,1
136,2.02299715934523,0.4001356966371615,AZ,2023-07-18,1,1,1,1,1,0,1,1,1,1,0,0,0,1,0,0,1,1,1,1
137,1.47507643872111,0.3483687932689515,AZ,2023-07-19,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0,1,1,1,1
138,1.59351583221799,0.4217218093431055,AZ,2023-07-20,1,0,0,1,1,1,1,1,1,1,0,0,0,1,0,0,0,1,1,1
139,1.8973922629493,0.406934619945859,AZ,2023-07-21,1,0,0,1,1,1,1,1,1,1,1,0,0,1,0,0,0,1,1,1
140,1.00700079523639,0.3261866712233685,AZ,2023-07-22,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1
141,0.87209830206861,0.4466517431912435,AZ,2023-07-23,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,0,1,1,1
142,3.68345376373954,0.4032759063937655,AZ,2023-07-24,1,1,1,0,1,1,0,1,1,1,0,1,0,0,0,0,0,0,1,0
143,3.85217726081823,0.4278035943957135,AZ,2023-07-25,0,0,0,1,1,0,0,1,1,1,0,0,0,1,0,0,1,1,1,1
144,2.54102555227828,0.4325964268042055,AZ,2023-07-26,1,0,1,1,0,1,1,1,0,1,0,1,0,1,0,1,0,1,0,1
145,1.61815598782797,0.4478078384371425,AZ,2023-07-27,0,1,1,1,1,1,1,1,1,1,0,1,0,1,0,0,0,1,1,1
146,0.686479490365792,0.340274315147145,AZ,2023-07-28,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1
147,0.604002687612421,0.3653295126849265,AZ,2023-07-29,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1
148,8.04015554914475,0.4497163838390065,AZ,2023-07-30,1,0,1,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,1
149,3.58179386373849,0.43681703352913,AZ,2023-07-31,1,0,1,1,1,1,0,0,1,1,1,0,1,1,1,0,0,0,1,1
150,1.63304388990939,0.381016520552253,AZ,2023-08-01,1,1,1,1,1,1,0,1,1,1,0,1,0,1,1,0,0,1,1,1
151,3.61125886847476,0.4002521393215115,AZ,2023-08-02,1,0,1,1,1,1,0,1,1,1,0,0,0,1,0,0,0,1,0,1
152,2.53184219478731,0.387666692372355,AZ,2023-08-03,1,0,0,1,1,1,1,1,0,1,0,0,0,1,1,0,0,1,0,1
153,0.76078227023447,0.406073344903254,AZ,2023-08-04,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1
154,2.08925794236857,0.389193672055316,AZ,2023-08-05,1,1,1,1,0,1,1,1,1,1,1,0,1,1,0,0,1,1,1,1
155,0.769082639336576,0.370955133342032,AZ,2023-08-06,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1
156,2.96821354076947,0.3889430206612045,AZ,2023-08-07,1,0,0,1,0,1,1,1,1,1,0,0,0,1,0,0,0,1,1,1
157,9.56914014433696,0.438272479829022,AZ,2023-08-08,1,0,0,1,1,0,0,1,0,1,0,0,0,0,1,0,0,1,0,1
158,4.11697994807257,0.438259776454857,AZ,2023-08-09,1,0,1,1,0,1,1,1,0,1,0,0,1,0,0,0,1,1,0,1
159,1.10739656919108,0.4601911562488465,AZ,2023-08-10,0,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,1,1,1,1
160,0.940832014222957,0.4526437064679415,AZ,2023-08-11,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,0,1
161,0.452678758735965,0.2947404793816685,AZ,2023-08-12,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1
162,1.93374489371093,0.3834665248249925,AZ,2023-08-13,1,1,1,1,1,0,1,1,1,1,0,0,1,1,0,1,0,1,1,1
163,6.065754955295,0.4313214301823035,AZ,2023-08-14,0,1,0,1,1,0,1,0,0,1,1,0,0,1,1,0,0,0,0,1
164,4.36310827581498,0.39193238230815,AZ,2023-08-15,1,0,1,1,1,1,0,1,1,1,0,0,0,1,0,0,0,1,1,1
165,5.43864603973275,0.42307290739115,AZ,2023-08-16,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0,1,0,1,0,1
166,1.79262733967736,0.4465516452103695,AZ,2023-08-17,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,0,0,0,1,1
167,1.32158226351213,0.4124404060482695,AZ,2023-08-18,1,1,1,1,1,1,1,1,0,1,0,0,0,1,0,0,1,1,0,1
168,0.781860136835761,0.3602169917775395,AZ,2023-08-19,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,0,1,1,1
169,0.711994412663599,0.400395678462254,CA,2023-07-09,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,0,1,1,1,1
170,2.23743138228128,0.382400172166625,CA,2023-07-10,1,0,1,1,0,1,1,1,0,1,0,0,0,1,0,1,1,1,0,1
